Year,City,State,Team Name,Arena Cost (millions),Year of Arena Construction,Arena Capacity,Revenue(Millions),Operating Income(Millions),Player Expenses,Ticket Revenue,Win/Loss %
2022-2023,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,326,85,159,73,0.5
2021-2022,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,282,84,121,53,0.524
2020-2021,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,199,37,93,20,0.569
2019-2020,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,222,36,111,31,0.299
2018-2019,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,251,78,95,32,0.354
2017-2018,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,215,42,105,23,0.293
2016-2017,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,209,22,119,27,0.524
2015-2016,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,169,19.8,83,26,0.585
2014-2015,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,142,7,67,30,0.732
2013-2014,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,133,14.8,65,19,0.463
2012-2013,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,119,-3.6,73,20,0.537
2011-2012,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,99,-18.7,65,17,0.606
2010-2011,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,109,-14.7,75,23,0.537
2009-2010,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,105,-7.3,69,,0.646
2008-2009,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,103,-2,70,,0.573
2007-2008,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,102,6.7,60,,0.451
2006-2007,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,95,9.7,52,,0.366
2005-2006,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,92,12.9,47,,0.317
2004-2005,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,87,4.7,44,,0.159
2003-2004,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,83,8.9,58,,0.341
2002-2003,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,78,-8.4,59,,0.427
2001-2002,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,79,4.2,47,,0.402
2022-2023,Boston,Massachusetts,Boston Celtics,160,1995,19156,443,88,185,116,0.695
2021-2022,Boston,Massachusetts,Boston Celtics,160,1995,19156,361,137,137,125,0.622
2020-2021,Boston,Massachusetts,Boston Celtics,160,1995,19156,211,46,98,5,0.5
2019-2020,Boston,Massachusetts,Boston Celtics,160,1995,19156,274,86,109,67,0.667
2018-2019,Boston,Massachusetts,Boston Celtics,160,1995,19156,304,88,139,85,0.598
2017-2018,Boston,Massachusetts,Boston Celtics,160,1995,19156,287,100,114,88,0.671
2016-2017,Boston,Massachusetts,Boston Celtics,160,1995,19156,257,85,107,79,0.646
2015-2016,Boston,Massachusetts,Boston Celtics,160,1995,19156,200,60.1,84,57,0.585
2014-2015,Boston,Massachusetts,Boston Celtics,160,1995,19156,181,57.4,69,56,0.488
2013-2014,Boston,Massachusetts,Boston Celtics,160,1995,19156,173,54.9,77,58,0.305
2012-2013,Boston,Massachusetts,Boston Celtics,160,1995,19156,169,46.8,79,62,0.506
2011-2012,Boston,Massachusetts,Boston Celtics,160,1995,19156,143,18.7,69,58,0.591
2010-2011,Boston,Massachusetts,Boston Celtics,160,1995,19156,146,7.7,86,59,0.683
2009-2010,Boston,Massachusetts,Boston Celtics,160,1995,19156,151,4.2,88,,0.61
2008-2009,Boston,Massachusetts,Boston Celtics,160,1995,19156,144,12.9,84,,0.756
2007-2008,Boston,Massachusetts,Boston Celtics,160,1995,19156,149,20.1,78,,0.805
2006-2007,Boston,Massachusetts,Boston Celtics,160,1995,19156,117,18.3,67,,0.293
2005-2006,Boston,Massachusetts,Boston Celtics,160,1995,19156,111,15.7,66,,0.402
2004-2005,Boston,Massachusetts,Boston Celtics,160,1995,19156,110,25.4,68,,0.549
2003-2004,Boston,Massachusetts,Boston Celtics,160,1995,19156,104,8.4,54,,0.439
2002-2003,Boston,Massachusetts,Boston Celtics,160,1995,19156,97,25.6,56,,0.537
2001-2002,Boston,Massachusetts,Boston Celtics,160,1995,19156,96,17.4,48,,0.598
2022-2023,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,367,-5,187,71,0.549
2021-2022,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,405,-34,174,76,0.537
2020-2021,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,212,-80,156,14,0.667
2019-2020,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,280,44,98,54,0.486
2018-2019,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,304,42,135,60,0.512
2017-2018,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,290,53,106,61,0.341
2016-2017,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,273,52,96,57,0.244
2015-2016,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,223,15.7,92,57,0.256
2014-2015,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,220,-5.7,99,63,0.463
2013-2014,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,212,-99.4,115,64,0.537
2012-2013,Brooklyn,New York,Brooklyn Nets,1000,2012,17732,190,-19,94,54,0.598
2011-2012,Newark,New Jersey,New Jersey Nets,374,2007,18500,84,-16.6,58,14,0.333
2010-2011,Newark,New Jersey,New Jersey Nets,374,2007,18500,89,-23.6,66,20,0.293
2009-2010,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",89,-10.2,64,,0.146
2008-2009,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",92,-13.9,67,,0.415
2007-2008,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",98,-0.9,67,,0.415
2006-2007,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",102,-1.3,68,,0.5
2005-2006,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",93,-8,70,,0.598
2004-2005,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",87,-7.4,60,,0.512
2003-2004,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",93,-6.1,67,,0.573
2002-2003,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",94,-1.6,63,,0.598
2001-2002,East Rutherford,New Jersey,New Jersey Nets,85,1981,"20,049",91,4.5,54,,0.634
2022-2023,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,269,35,165,35,0.329
2021-2022,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,269,94,105,31,0.524
2020-2021,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,183,34,93,1,0.458
2019-2020,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,215,36,114,20,0.354
2018-2019,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,240,39,127,28,0.476
2017-2018,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,213,22,127,27,0.439
2016-2017,Charlotte,North Carolina,Charlotte Hornets,260,2005,19077,202,21,115,26,0.439
