Year,City,State,Team Name,Arena Cost (millions),Year of Arena Construction,Arena Capacity,Revenue(Millions),Operating Income(Millions),Player Expenses,Ticket Revenue,Win/Loss %
2022,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,326,85.0,159.0,73.0,0.5
2021,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,282,84.0,121.0,53.0,0.524
2020,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,199,37.0,93.0,20.0,0.569
2019,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,222,36.0,111.0,31.0,0.299
2018,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,251,78.0,95.0,32.0,0.354
2017,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,215,42.0,105.0,23.0,0.293
2016,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,209,22.0,119.0,27.0,0.524
2015,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,169,19.8,83.0,26.0,0.585
2014,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,142,7.0,67.0,30.0,0.732
2013,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,133,14.8,65.0,19.0,0.463
2012,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,119,-3.6,73.0,20.0,0.537
2011,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,99,-18.7,65.0,17.0,0.606
2010,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,109,-14.7,75.0,23.0,0.537
2009,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,105,-7.3,69.0,,0.646
2008,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,103,-2.0,70.0,,0.573
2007,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,102,6.7,60.0,,0.451
2006,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,95,9.7,52.0,,0.366
2005,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,92,12.9,47.0,,0.317
2004,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,87,4.7,44.0,,0.159
2003,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,83,8.9,58.0,,0.341
2002,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,78,-8.4,59.0,,0.427
2001,Atlanta,Georgia,Atlanta Hawks,213.5,1999,16600,79,4.2,47.0,,0.402
